message,label
check out this new meme,casual
win a crypto investment click here,spam
congratulations you won a crypto investment,spam
you have been selected for a crypto investment,spam
buy 1 get 1 free gift card this day,spam
professor cancelled physics class on thursday,important
buy 1 get 1 free crypto investment today,spam
lets play cricket after class,casual
computer science exam scheduled on thursday at 2:00 pm,important
earn 5000 per week with lottery prize,spam
movie night on friday at midnight,casual
party tonight at 5:00 pm,casual
assignment due on tuesday at 5:00 pm,important
professor cancelled biology class on sunday,important
lab report for biology must be uploaded by saturday,important
lets play badminton after class,casual
check out this new meme,casual
earn 5000 per week with discount coupon,spam
congratulations you won a crypto investment,spam
assignment due on tomorrow at midnight,important
professor cancelled english class on tuesday,important
lab report for english must be uploaded by tomorrow,important
check out this new meme,casual
check out this new meme,casual
who wants to grab lunch on tuesday,casual
professor cancelled computer science class on saturday,important
good morning everyone,casual
who wants to grab lunch on saturday,casual
win a gift card click here,spam
check out this new meme,casual
party tonight at 11:59 pm,casual
who wants to grab lunch on wednesday,casual
computer science exam scheduled on wednesday at 11:59 pm,important
party tonight at 2:00 pm,casual
movie night on tuesday at 2:00 pm,casual
good morning everyone,casual
computer science exam scheduled on thursday at 2:00 pm,important
check out this new meme,casual
check out this new meme,casual
lab report for english must be uploaded by tuesday,important
claim your free iphone now,spam
work submission submission time is sunday at 10:30 am,important
check out this new meme,casual
congratulations you won a gift card,spam
results of history will be declared on friday,important
who wants to grab lunch on friday,casual
lab report for biology must be uploaded by saturday,important
who wants to grab lunch on wednesday,casual
earn 5000 per week with free iphone,spam
check out this new meme,casual
check out this new meme,casual
results of math will be declared on today,important
congratulations you won a discount coupon,spam
check out this new meme,casual
assignment due on tomorrow at 10:30 am,important
chemistry exam scheduled on tuesday at 11:59 pm,important
good morning everyone,casual
check out this new meme,casual
professor cancelled biology class on sunday,important
buy 1 get 1 free gift card today,spam
assignment due on sunday at 11:59 pm,important
claim your gift card instantly,spam
get 1 get 1 no-cost gift card today,spam
chemistry exam scheduled on saturday at 2:00 pm,important
lets play badminton after class,casual
check out this new meme,casual
buy 1 get 1 gratis gift card today,spam
assignment due on tomorrow at 10:30 am,important
check out this new meme,casual
party tonight at 2:00 pm,casual
lets play chess after class,casual
lets play badminton after class,casual
buy 1 get 1 free crypto investment today,spam
claim your lottery prize instantly,spam
lab report for physics must be uploaded by thursday,important
you have been selected for a crypto investment,spam
claim your lottery prize immediately,spam
claim your job offer now,spam
party tonight at 10:30 am,casual
physics exam scheduled on monday at 2:00 pm,important
good morning everyone,casual
lets play badminton after class,casual
good morning everyone,casual
buy 1 get 1 free gift card today,spam
win a gift card click here,spam
earn 5000 per week with lottery prize,spam
win a gift card click here,spam
who wants to grab lunch on wednesday,casual
congratulations you won a discount coupon,spam
who wants to grab lunch on monday,casual
chemistry exam scheduled on tuesday at 11:59 pm,important
physics exam scheduled on tomorrow at 10:30 am,important
check out this new meme,casual
check out this new meme,casual
get 1 get 1 gratis complimentary iphone currently,spam
who wants to grab lunch on tomorrow,casual
physics exam scheduled on monday at 2:00 pm,important
results of chemistry will be declared on sunday,important
lab report for computer science must be uploaded by wednesday,important
assignment due on as of now at 2:00 pm,important
results of history will be declared on saturday,important
purchase 1 get 1 free crypto investment today,spam
lab report for biology must be uploaded by today,important
who wants to grab lunch on tuesday,casual
congratulations you won a lottery prize,spam
check out this new meme,casual
lab report for biology must be uploaded by tomorrow,important
physics exam scheduled on wednesday at 2:00 pm,important
congratulations you won a lottery prize,spam
project submission deadline is friday at 11:59 pm,important
computer science exam scheduled on wednesday at 8:00 am,important
professor cancelled computer science class on saturday,important
congratulations you won a discount coupon,spam
buy 1 get 1 free gift card today,spam
results of history will be declared on tuesday,important
lab report for chemistry must be uploaded by wednesday,important
movie night on saturday at 10:30 am,casual
win a discount coupon click here,spam
good morning everyone,casual
movie night on today at midnight,casual
task submission deadline is saturday at 2:00 pm,important
check out this new meme,casual
movie night on sunday at 10:30 am,casual
lab report for history must be uploaded by today,important
movie night on today at midnight,casual
check out this new meme,casual
project submission deadline is today at 5:00 pm,important
check out this new meme,casual
earn 5000 per week with crypto investment,spam
results of history will be declared on today,important
you have been selected for a gift card,spam
good morning everyone,casual
claim your lottery prize now,spam
good morning everyone,casual
good morning everyone,casual
earn 5000 per week with gift card,spam
congratulations you won a discount coupon,spam
win a job offer click here,spam
math exam scheduled on today at 11:59 pm,important
you have been selected for a crypto investment,spam
lets play chess after class,casual
check out this new meme,casual
professor cancelled computer science class on friday,important
